Subject,Drug,Drug_Code,Baseline_Code,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_26,Baseline,A,1,10,9,1,50,25,11.05633333
sub_26,Baseline,A,1,20,9,1,100,89,13.54066667
sub_26,Baseline,A,1,40,6,4,200,151,17.64083333
sub_26,Baseline,A,1,80,8,2,400,100,15.61333333
sub_26,Veh-Veh,A_Veh_Veh,0,10,9,1,50,85,10.11616667
sub_26,Veh-Veh,A_Veh_Veh,0,20,10,0,100,44,6.886833333
sub_26,Veh-Veh,A_Veh_Veh,0,40,9,1,200,83,12.72183333
sub_26,Veh-Veh,A_Veh_Veh,0,80,8,2,400,93,14.50033333
sub_26,.1Hal - Veh,B_Hal_Veh,0,10,5,5,50,7,21.68
sub_26,.1Hal - Veh,B_Hal_Veh,0,20,5,5,100,1,25.21883333
sub_26,.1Hal - Veh,B_Hal_Veh,0,40,4,6,165,0,25.5665
sub_26,.1Hal - Veh,B_Hal_Veh,0,80,0,10,20,0,33.87083333
sub_26,.1Hal - .125KW,C_Hal_.125KW,0,10,6,4,50,10,22.16683333
sub_26,.1Hal - .125KW,C_Hal_.125KW,0,20,6,4,80,2,22.75433333
sub_26,.1Hal - .125KW,C_Hal_.125KW,0,40,5,5,64,8,24.24583333
sub_26,.1Hal - .125KW,C_Hal_.125KW,0,80,9,1,326,14,14.846
sub_26,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,16,9.608333333
sub_26,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,10,12.68483333
sub_26,.1Hal-.5KW,D_Hal_.5KW,0,40,10,0,200,7,9.085
sub_26,.1Hal-.5KW,D_Hal_.5KW,0,80,10,0,400,6,15.84733333
sub_27,Baseline,A,1,10,10,0,50,80,8.021833333
sub_27,Baseline,A,1,20,10,0,100,20,9.417
sub_27,Baseline,A,1,40,10,0,200,12,9.424
sub_27,Baseline,A,1,80,10,0,400,18,9.9005
sub_27,Veh-Veh,A_Veh_Veh,0,10,10,0,50,17,7.855
sub_27,Veh-Veh,A_Veh_Veh,0,20,10,0,100,19,7.399666667
sub_27,Veh-Veh,A_Veh_Veh,0,40,10,0,200,15,6.168166667
sub_27,Veh-Veh,A_Veh_Veh,0,80,10,0,400,16,7.494166667
sub_27,.1Hal - Veh,B_Hal_Veh,0,10,7,3,40,10,19.3595
sub_27,.1Hal - Veh,B_Hal_Veh,0,20,10,0,100,19,10.15966667
sub_27,.1Hal - Veh,B_Hal_Veh,0,40,10,0,200,27,15.62483333
sub_27,.1Hal - Veh,B_Hal_Veh,0,80,7,3,333,12,28.33016667
sub_27,.1Hal - .125KW,C_Hal_.125KW,0,10,10,0,50,14,7.171666667
sub_27,.1Hal - .125KW,C_Hal_.125KW,0,20,9,1,100,10,14.38483333
sub_27,.1Hal - .125KW,C_Hal_.125KW,0,40,2,8,140,1,29.00883333
sub_27,.1Hal - .125KW,C_Hal_.125KW,0,80,4,6,206,3,26.5525
sub_27,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,15,6.693166667
sub_27,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,9,9.584
sub_27,.1Hal-.5KW,D_Hal_.5KW,0,40,9,1,200,20,18.47383333
sub_27,.1Hal-.5KW,D_Hal_.5KW,0,80,6,4,292,19,24.306
sub_28,Baseline,A,1,10,10,0,50,7,8.142833333
sub_28,Baseline,A,1,20,10,0,100,10,8.134666667
sub_28,Baseline,A,1,40,10,0,200,5,8.032333333
sub_28,Baseline,A,1,80,10,0,400,6,11.88166667
sub_28,Veh-Veh,A_Veh_Veh,0,10,10,0,50,8,6.256
sub_28,Veh-Veh,A_Veh_Veh,0,20,10,0,100,6,4.595333333
sub_28,Veh-Veh,A_Veh_Veh,0,40,10,0,200,5,6.152666667
sub_28,Veh-Veh,A_Veh_Veh,0,80,8,2,250,6,15.62233333
sub_28,.1Hal - Veh,B_Hal_Veh,0,10,10,0,50,5,10.31266667
sub_28,.1Hal - Veh,B_Hal_Veh,0,20,10,0,100,5,8.418
sub_28,.1Hal - Veh,B_Hal_Veh,0,40,5,5,31,5,21.24083333
sub_28,.1Hal - Veh,B_Hal_Veh,0,80,5,5,1,8,20.664
sub_28,.1Hal - .125KW,C_Hal_.125KW,0,10,8,2,40,5,13.726
