Subject,Drug,Press_Req,OptOuts,Rewards,Presses,Holds,Duration
sub_26,Vehicle,10,8,2,0,198,31.15116667
sub_26,Vehicle,20,5,5,100,223,18.71233333
sub_26,Vehicle,40,1,9,200,124,13.22983333
sub_26,Vehicle,80,0,10,400,43,8.230166667
sub_26,.1mg/kg,10,5,5,50,86,17.625
sub_26,.1mg/kg,20,5,5,100,8,17.75516667
sub_26,.1mg/kg,40,5,5,200,6,20.59133333
sub_26,.1mg/kg,80,8,2,214,6,33.07283333
sub_26,.2mg/kg,10,1,9,50,22,13.35566667
sub_26,.2mg/kg,20,8,2,22,2,29.65183333
sub_26,.2mg/kg,40,9,1,0,2,33.70183333
sub_26,.2mg/kg,80,10,0,1,0,32.5275
sub_27,Vehicle,10,0,10,50,392,8.939166667
sub_27,Vehicle,20,0,10,100,25,5.442166667
sub_27,Vehicle,40,0,10,200,15,7.007
sub_27,Vehicle,80,0,10,400,21,6.870333333
sub_27,.1mg/kg,10,0,10,50,23,7.09
sub_27,.1mg/kg,20,0,10,100,100,8.1025
sub_27,.1mg/kg,40,0,10,200,23,7.165
sub_27,.1mg/kg,80,0,10,400,35,12.98383333
sub_27,.2mg/kg,10,3,7,30,15,20.46466667
sub_27,.2mg/kg,20,6,4,60,2,24.09483333
sub_27,.2mg/kg,40,7,3,45,4,26.33933333
sub_27,.2mg/kg,80,9,1,10,2,31.62433333
sub_28,Vehicle,10,0,10,50,7,5.257333333
sub_28,Vehicle,20,0,10,100,5,4.188166667
sub_28,Vehicle,40,0,10,200,5,8.2305
sub_28,Vehicle,80,2,8,273,11,12.84333333
sub_28,.1mg/kg,10,0,10,50,5,9.21
sub_28,.1mg/kg,20,0,10,100,5,7.901666667
sub_28,.1mg/kg,40,0,10,200,6,6.336833333
sub_28,.1mg/kg,80,5,5,131,6,21.36733333
sub_28,.2mg/kg,10,2,8,43,4,11.81316667
sub_28,.2mg/kg,20,5,5,20,7,20.06616667
sub_28,.2mg/kg,40,6,4,3,8,22.42
sub_28,.2mg/kg,80,7,3,0,5,26.35583333
sub_29,Vehicle,10,0,10,50,20,8.801333333
sub_29,Vehicle,20,0,10,100,16,6.659833333
sub_29,Vehicle,40,0,10,200,7,6.333833333
sub_29,Vehicle,80,1,9,369,8,12.02133333
sub_29,.1mg/kg,10,0,10,50,5,4.8455
sub_29,.1mg/kg,20,2,8,63,6,12.3575
sub_29,.1mg/kg,40,4,6,52,6,18.00833333
sub_29,.1mg/kg,80,4,6,166,6,18.28483333
sub_29,.2mg/kg,10,5,5,10,5,21.94233333
sub_29,.2mg/kg,20,8,2,0,3,27.896
sub_29,.2mg/kg,40,8,2,0,3,28.5835
sub_29,.2mg/kg,80,8,2,0,4,28.37933333
sub_831,Vehicle,10,0,10,50,28,6.422833333
sub_831,Vehicle,20,0,10,100,14,5.962666667
sub_831,Vehicle,40,0,10,200,6,6.701666667
sub_831,Vehicle,80,0,10,400,9,9.646166667
sub_831,.1mg/kg,10,0,10,50,7,4.768833333
sub_831,.1mg/kg,20,0,10,100,9,9.8815
sub_831,.1mg/kg,40,1,9,163,10,17.37666667
sub_831,.1mg/kg,80,3,7,274,6,18.19383333
sub_831,.2mg/kg,10,0,10,50,5,9.488333333
sub_831,.2mg/kg,20,2,8,61,5,17.24283333
sub_831,.2mg/kg,40,5,5,0,7,19.66233333
sub_831,.2mg/kg,80,9,1,1,1,30.1155
sub_836,Vehicle,10,0,10,50,15,4.369166667
sub_836,Vehicle,20,0,10,100,10,5.907
sub_836,Vehicle,40,0,10,200,8,6.355666667
sub_836,Vehicle,80,0,10,400,8,8.137333333
sub_836,.1mg/kg,10,0,10,50,5,3.890333333
sub_836,.1mg/kg,20,0,10,100,9,4.488833333
sub_836,.1mg/kg,40,0,10,200,6,10.83133333
sub_836,.1mg/kg,80,0,10,400,5,10.78683333
sub_836,.2mg/kg,10,5,5,14,4,19.25933333
sub_836,.2mg/kg,20,6,4,0,7,28.74883333
sub_836,.2mg/kg,40,4,6,40,10,23.58133333
sub_836,.2mg/kg,80,9,1,1,1,31.84766667
sub_841,Vehicle,10,0,10,50,10,6.772
sub_841,Vehicle,20,0,10,100,9,4.793
sub_841,Vehicle,40,0,10,200,13,7.520833333
sub_841,Vehicle,80,0,10,400,7,8.247333333
sub_841,.1mg/kg,10,0,10,50,5,4.486
sub_841,.1mg/kg,20,0,10,100,6,7.673833333
sub_841,.1mg/kg,40,4,6,75,8,18.31333333
sub_841,.1mg/kg,80,5,5,79,6,19.98433333
sub_841,.2mg/kg,10,2,8,33,8,13.2665
sub_841,.2mg/kg,20,8,2,0,5,29.736
sub_841,.2mg/kg,40,10,0,0,0,34.3955
sub_841,.2mg/kg,80,9,1,0,1,30.41633333
sub_846,Vehicle,10,0,10,50,186,15.7045
sub_846,Vehicle,20,0,10,100,14,6.291833333
sub_846,Vehicle,40,0,10,200,19,6.032833333
sub_846,Vehicle,80,0,10,400,7,4.9945
sub_846,.1mg/kg,10,0,10,50,19,6.5935
sub_846,.1mg/kg,20,0,10,100,17,10.42666667
sub_846,.1mg/kg,40,0,10,200,9,11.928
sub_846,.1mg/kg,80,3,7,260,11,17.79966667
sub_846,.2mg/kg,10,1,9,50,5,10.21233333
sub_846,.2mg/kg,20,3,7,80,4,17.767
sub_846,.2mg/kg,40,8,2,14,3,31.50383333
sub_846,.2mg/kg,80,9,1,7,2,32.321
sub_847,Vehicle,10,5,5,50,9,21.69683333
sub_847,Vehicle,20,5,5,100,11,19.12433333
sub_847,Vehicle,40,5,5,200,4,20.82266667
sub_847,Vehicle,80,5,5,400,0,21.4055
sub_847,.1mg/kg,10,5,5,50,4,18.46
sub_847,.1mg/kg,20,5,5,100,1,18.75333333
sub_847,.1mg/kg,40,5,5,200,5,23.3615
sub_847,.1mg/kg,80,10,0,106,0,31.84266667
sub_847,.2mg/kg,10,5,5,50,0,19.21283333
sub_847,.2mg/kg,20,5,5,100,0,20.68816667
sub_847,.2mg/kg,40,9,1,40,0,31.84733333
sub_847,.2mg/kg,80,10,0,6,0,34.9555
sub_867,Vehicle,10,5,5,0,12,19.09716667
sub_867,Vehicle,20,0,10,100,16,5.891333333
sub_867,Vehicle,40,0,10,200,10,8.442
sub_867,Vehicle,80,0,10,400,37,8.120666667
sub_867,.1mg/kg,10,0,10,50,13,7.075
sub_867,.1mg/kg,20,0,10,100,9,8.5065
sub_867,.1mg/kg,40,0,10,200,6,6.4625
sub_867,.1mg/kg,80,2,8,286,9,14.24133333
sub_867,.2mg/kg,10,8,2,10,1,30.92416667
sub_867,.2mg/kg,20,2,8,100,8,15.72666667
sub_867,.2mg/kg,40,10,0,18,0,32.52966667
