Subject,Drug,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_851,Vehicle,10,10,0,50,5,3.794833333
sub_851,Vehicle,20,10,0,100,5,5.555333333
sub_851,Vehicle,40,10,0,200,5,5.800833333
sub_851,Vehicle,80,10,0,400,6,6.9705
sub_851,.125mg/kg,10,10,0,50,5,3.6
sub_851,.125mg/kg,20,10,0,100,6,7.1745
sub_851,.125mg/kg,40,10,0,200,7,6.123666667
sub_851,.125mg/kg,80,10,0,400,6,9.425
sub_851,.5mg/kg,10,10,0,50,5,6.0735
sub_851,.5mg/kg,20,10,0,100,5,5.1715
sub_851,.5mg/kg,40,10,0,200,6,6.893333333
sub_851,.5mg/kg,80,10,0,400,6,7.910333333
sub_852,Vehicle,10,10,0,50,9,7.075
sub_852,Vehicle,20,10,0,100,8,5.284333333
sub_852,Vehicle,40,10,0,200,5,8.49
sub_852,Vehicle,80,10,0,400,9,4.858833333
sub_852,.125mg/kg,10,10,0,50,8,5.341833333
sub_852,.125mg/kg,20,10,0,100,12,5.429666667
sub_852,.125mg/kg,40,10,0,200,13,6.777
sub_852,.125mg/kg,80,10,0,400,13,6.342333333
sub_852,.5mg/kg,10,10,0,50,10,7.24
sub_852,.5mg/kg,20,10,0,100,9,5.133666667
sub_852,.5mg/kg,40,10,0,200,14,7.2315
sub_852,.5mg/kg,80,10,0,400,15,6.155333333
sub_853,Vehicle,10,10,0,50,6,6.461333333
sub_853,Vehicle,20,10,0,100,7,7.377833333
sub_853,Vehicle,40,10,0,200,8,6.1605
sub_853,Vehicle,80,10,0,400,8,10.6635
sub_853,.125mg/kg,10,10,0,50,6,8.247166667
sub_853,.125mg/kg,20,10,0,100,9,6.913333333
sub_853,.125mg/kg,40,10,0,200,5,5.331166667
sub_853,.125mg/kg,80,10,0,400,8,5.529166667
sub_853,.5mg/kg,10,9,1,50,17,7.527666667
sub_853,.5mg/kg,20,10,0,100,12,5.820333333
sub_853,.5mg/kg,40,10,0,200,7,7.8705
sub_853,.5mg/kg,80,10,0,400,6,8.165666667
sub_854,Vehicle,10,10,0,50,8,4.3825
sub_854,Vehicle,20,10,0,100,10,5.213666667
sub_854,Vehicle,40,10,0,200,8,8.6195
sub_854,Vehicle,80,10,0,400,10,12.51766667
sub_854,.125mg/kg,10,10,0,50,10,7.669333333
sub_854,.125mg/kg,20,10,0,100,20,6.149833333
sub_854,.125mg/kg,40,10,0,200,8,6.175833333
sub_854,.125mg/kg,80,6,4,105,7,17.81966667
sub_854,.5mg/kg,10,10,0,50,19,7.800333333
sub_854,.5mg/kg,20,10,0,100,16,7.529
sub_854,.5mg/kg,40,10,0,200,13,8.256
sub_854,.5mg/kg,80,7,3,242,11,17.2595
sub_855,Vehicle,10,10,0,50,6,5.940166667
sub_855,Vehicle,20,10,0,100,7,5.815333333
sub_855,Vehicle,40,10,0,200,6,7.849666667
sub_855,Vehicle,80,9,1,339,8,8.714666667
sub_855,.125mg/kg,10,9,1,50,8,8.267666667
sub_855,.125mg/kg,20,10,0,100,11,6.230333333
sub_855,.125mg/kg,40,10,0,200,9,5.940833333
sub_855,.125mg/kg,80,10,0,400,12,6.718666667
sub_855,.5mg/kg,10,10,0,50,7,6.006
sub_855,.5mg/kg,20,10,0,100,11,5.3665
sub_855,.5mg/kg,40,10,0,200,12,7.882
sub_855,.5mg/kg,80,10,0,400,8,8.309166667
sub_856,Vehicle,10,10,0,50,5,6.491833333
sub_856,Vehicle,20,10,0,100,20,4.877
sub_856,Vehicle,40,10,0,200,12,6.619166667
sub_856,Vehicle,80,9,1,324,8,12.45016667
sub_856,.125mg/kg,10,10,0,50,10,5.273333333
sub_856,.125mg/kg,20,10,0,100,11,6.688333333
sub_856,.125mg/kg,40,10,0,200,8,7.742333333
sub_856,.125mg/kg,80,9,1,324,11,12.07433333
sub_856,.5mg/kg,10,10,0,50,7,4.708166667
sub_856,.5mg/kg,20,10,0,100,6,4.796666667
sub_856,.5mg/kg,40,10,0,200,5,8.888833333
sub_856,.5mg/kg,80,8,2,249,7,12.01183333
sub_857,Vehicle,10,10,0,50,6,6.2175
sub_857,Vehicle,20,10,0,100,8,5.7805
sub_857,Vehicle,40,10,0,200,5,9.279333333
sub_857,Vehicle,80,10,0,400,6,10.003
sub_857,.125mg/kg,10,10,0,50,5,4.740666667
sub_857,.125mg/kg,20,10,0,100,7,5.100833333
sub_857,.125mg/kg,40,10,0,200,5,6.137833333
sub_857,.125mg/kg,80,10,0,400,7,10.01216667
sub_857,.5mg/kg,10,10,0,50,7,6.813833333
sub_857,.5mg/kg,20,10,0,100,10,5.644333333
sub_857,.5mg/kg,40,10,0,200,12,6.399333333
sub_857,.5mg/kg,80,10,0,400,7,9.282666667
sub_858,Vehicle,10,10,0,50,7,5.295833333
sub_858,Vehicle,20,10,0,100,9,6.1215
sub_858,Vehicle,40,10,0,200,9,7.0525
sub_858,Vehicle,80,10,0,400,8,7.616833333
sub_858,.125mg/kg,10,10,0,50,10,5.509666667
sub_858,.125mg/kg,20,10,0,100,9,8.914166667
sub_858,.125mg/kg,40,10,0,200,11,5.842
sub_858,.125mg/kg,80,10,0,400,8,9.04
sub_858,.5mg/kg,10,10,0,50,10,5.7535
sub_858,.5mg/kg,20,10,0,100,9,4.355333333
sub_858,.5mg/kg,40,10,0,200,11,4.7915
sub_858,.5mg/kg,80,10,0,400,11,8.695833333
sub_859,Vehicle,10,5,5,50,4,19.2095
sub_859,Vehicle,20,5,5,100,5,19.18766667
sub_859,Vehicle,40,5,5,200,2,19.80333333
sub_859,Vehicle,80,5,5,400,4,21.809
sub_859,.125mg/kg,10,5,5,50,144,17.73166667
sub_859,.125mg/kg,20,5,5,100,6,19.9205
sub_859,.125mg/kg,40,5,5,200,29,19.6875
sub_859,.125mg/kg,80,5,5,400,11,20.63883333
sub_859,.5mg/kg,10,5,5,50,21,16.84816667
sub_859,.5mg/kg,20,5,5,100,7,17.9835
sub_859,.5mg/kg,40,5,5,200,79,18.24916667
sub_859,.5mg/kg,80,5,5,400,7,21.72183333
sub_860,Vehicle,10,10,0,50,18,5.099
sub_860,Vehicle,20,10,0,100,5,6.2565
sub_860,Vehicle,40,10,0,200,5,7.701833333
sub_860,Vehicle,80,10,0,400,5,11.36616667
sub_860,.125mg/kg,10,10,0,50,5,4.8575
sub_860,.125mg/kg,20,10,0,100,5,7.153833333
sub_860,.125mg/kg,40,10,0,200,6,7.814333333
sub_860,.125mg/kg,80,10,0,400,5,10.278
sub_860,.5mg/kg,10,10,0,50,5,6.725
sub_860,.5mg/kg,20,10,0,100,6,4.922166667
sub_860,.5mg/kg,40,10,0,200,6,7.666166667
sub_860,.5mg/kg,80,9,1,397,8,11.93233333
sub_861,Vehicle,10,10,0,50,11,4.104666667
sub_861,Vehicle,20,10,0,100,19,5.917666667
sub_861,Vehicle,40,10,0,200,23,6.245666667
sub_861,Vehicle,80,10,0,400,11,8.358666667
sub_861,.125mg/kg,10,10,0,50,11,7.0345
sub_861,.125mg/kg,20,10,0,100,27,7.249
sub_861,.125mg/kg,40,10,0,200,19,4.5045
sub_861,.125mg/kg,80,10,0,400,7,6.454
sub_861,.5mg/kg,10,10,0,50,26,6.7685
sub_861,.5mg/kg,20,10,0,100,9,5.506
sub_861,.5mg/kg,40,10,0,200,10,7.694833333
sub_861,.5mg/kg,80,10,0,400,8,9.350333333
sub_862,Vehicle,10,10,0,50,33,6.770333333
sub_862,Vehicle,20,10,0,100,10,6.415666667
sub_862,Vehicle,40,10,0,200,9,7.0455
sub_862,Vehicle,80,7,3,176,6,14.37316667
sub_862,.125mg/kg,10,10,0,50,12,6.235333333
sub_862,.125mg/kg,20,9,1,82,9,8.868333333
sub_862,.125mg/kg,40,10,0,200,17,9.39
sub_862,.125mg/kg,80,8,2,250,14,14.4485
sub_862,.5mg/kg,10,10,0,50,20,8.515666667
sub_862,.5mg/kg,20,10,0,100,16,6.933666667
sub_862,.5mg/kg,40,9,1,164,21,11.67416667
sub_862,.5mg/kg,80,6,4,156,9,17.00816667
sub_863,Vehicle,10,10,0,50,13,5.0755
sub_863,Vehicle,20,10,0,100,17,5.252666667
sub_863,Vehicle,40,10,0,200,21,8.118333333
sub_863,Vehicle,80,10,0,400,17,8.761333333
